pin14,pin,geom,full_address,community,ward
13333180190000,13-33-318-019-0000,01060000200F9101000100000001030000000100000005000000F051B81EAF69314100295C0F50283D4140E17A14AE69314140E17A146E283D41D0CCCC4C2B6A314100295C0F71283D41703D0A572C6A3141A0703D0A53283D41F051B81EAF69314100295C0F50283D41,1703 N LATROBE AVE,AUSTIN,37
13334180410000,13-33-418-041-0000,01060000200F9101000100000001030000000100000007000000F051B89E586D3141C0CCCC4CFB263D4190C2F5A84E6D314100295C0FFB263D41608FC2754A6D314100295C8F74273D41C01E856B546D3141C0CCCCCC74273D41D0A3703D696D3141C0CCCC4C75273D4110D7A3706D6D3141C0CCCCCCFB263D41F051B89E586D3141C0CCCC4CFB263D41,5114 W CONCORD PL,AUSTIN,37
16043210220000,16-04-321-022-0000,01060000200F9101000100000001030000000100000005000000C01E85EB4D683141C0CCCC4C0F153D41C0F528DCC7673141403333B30C153D41B047E1FAC6673141E0A370BD2D153D4150B81E054D683141803D0A5730153D41C01E85EB4D683141C0CCCC4C0F153D41,942 N LOCKWOOD AVE,AUSTIN,37
16044120250000,16-04-412-025-0000,01060000200F91010001000000010300000001000000050000002085EB513974314180EB51B890173D4110AE476136743141A0703D0A0F183D4110AE47614F743141A0703D8A0F183D412085EB515274314180EB513891173D412085EB513974314180EB51B890173D41,4826 W CORTEZ ST,AUSTIN,37
16044150380000,16-04-415-038-0000,01060000200F9101000100000001030000000100000007000000D0CCCCCC3F6C314180C2F528C9133D41C0F5285CC26B3141A0999919C7133D41F0285C0FC26B3141A0999999D3133D41608FC275C16B314140E17A94EC133D41606666E63E6C3141400AD7A3EE133D41000000803F6C314180C2F5A8D5133D41D0CCCCCC3F6C314180C2F528C9133D41,908 N LEAMINGTON,AUSTIN,37
16054140240000,16-05-414-024-0000,01060000200F9101000100000001030000000100000005000000F051B81E9E5E314180EB513818173D41D0CCCC4C9D5E31414033333331173D4150B81E85195F3141608FC27534173D41703D0A571A5F3141000000801B173D41F051B81E9E5E314180EB513818173D41,1032 N. PARKSIDE,AUSTIN,29
16054180290000,16-05-418-029-0000,01060000200F910100010000000103000000010000000500000000000000A0573141C0CCCC4C14133D4190C2F5289C57314100295C0F8C133D41400AD7A3C1573141000000008D133D4100000080C5573141E0A3703D15133D4100000000A0573141C0CCCC4C14133D41,5938 W IOWA ST,AUSTIN,29
16082020110000,16-08-202-011-0000,01060000200F9101000100000001030000000100000007000000303333330B5C314100000000460F3D4130333333005C31418014AEC7450F3D41A0999919FC5B31412085EBD1BE0F3D41A0999919075C314140E17A14BF0F3D41A09999191A5C314160B81E85BF0F3D41303333331E5C314120AE4761460F3D41303333330B5C314100000000460F3D41,5746 W SUPERIOR ST,AUSTIN,29
16082060030000,16-08-206-003-0000,01060000200F9101000100000001030000000100000005000000608FC2F52D5E3141A047E17A9B0F3D41F0285C8F2C5E3141608FC275C20F3D41F0285C8FAF5E31412085EB51C50F3D41B047E1FAB05E3141803D0A579E0F3D41608FC2F52D5E3141A047E17A9B0F3D41,745 N WALLER AVE,AUSTIN,29
16082060140000,16-08-206-014-0000,01060000200F9101000100000001030000000100000005000000608FC2F5C45E3141205C8FC29E0F3D41A0703D8AC35E3141E0A370BDC50F3D4150B81E85465F3141A0999999C80F3D41608FC2F5475F3141A0999999A10F3D41608FC2F5C45E3141205C8FC29E0F3D41,744 N Parkside,AUSTIN,29
16084010170000,16-08-401-017-0000,01060000200F9101000100000001030000000100000005000000C01E85EB0D5931412085EB519A043D41D0A370BD0C59314100000080BD043D41C0F528DCA059314100295C0FC1043D41A0703D0AA259314120AE47E19D043D41C01E85EB0D5931412085EB519A043D41,330 N. MAYFIELD AVE,AUSTIN,29
16084010180000,16-08-401-018-0000,01060000200F9101000100000001030000000100000005000000305C8FC20E593141803D0A5781043D41C01E85EB0D5931412085EB519A043D41A0703D0AA259314120AE47E19D043D4110AE47E1A2593141606666E684043D41305C8FC20E593141803D0A5781043D41,326 N. MAYFIELD,AUSTIN,29
16084010240000,16-08-401-024-0000,01060000200F9101000100000001030000000100000006000000D0A370BD1559314180C2F528B1033D41F051B89E14593141C01E856BD2033D41D0A370BDA8593141A047E1FAD5033D41C0F528DCA959314180EB51B8B4033D41D0A3703D3F59314180C2F528B2033D41D0A370BD1559314180C2F528B1033D41,306 N MAYFIELD,AUSTIN,29
16084020010000,16-08-402-001-0000,01060000200F9101000100000001030000000100000007000000C0F528DC135A3141803D0AD7D2043D412085EB51F0593141A047E1FAD1043D41D0CCCC4CEB59314100D7A3F067053D41703D0AD70E5A3141C0CCCCCC68053D41D0CCCC4C1D5A3141400AD72369053D412085EB51225A3141E07A142ED3043D41C0F528DC135A3141803D0AD7D2043D41,5843 W LAKE ST,AUSTIN,29
16084090040000,16-08-409-004-0000,01060000200F9101000100000001030000000100000005000000E07A14AE285C3141C0CCCCCCD0023D41F051B81E275C31418014AEC702033D4150B81E05D25C31416066666607033D41303333B3D35C3141C01E856BD5023D41E07A14AE285C3141C0CCCCCCD0023D41,237 N MENARD AVE,AUSTIN,29
16084140130000,16-08-414-013-0000,01060000200F910100010000000103000000010000000500000010D7A370065B31418014AE47D7003D418014AEC7045B3141E07A14AE0A013D4190C2F5A8E65B3141A047E17A10013D41D0CCCC4CE85B3141E07A14AEDD003D4110D7A370065B31418014AE47D7003D41,156 N MENARD AVE,AUSTIN,29
16084160010000,16-08-416-001-0000,01060000200F9101000100000001030000000100000005000000C0F528DCF15D3141C01E85EBE9003D41305C8FC2F05D3141E0A3703D0B013D41D0A370BD595E3141E051B81E0E013D41703D0AD75A5E31418014AEC7EC003D41C0F528DCF15D3141C01E85EBE9003D41,157 N. WALLER AVE.,AUSTIN,29
16084160020000,16-08-416-002-0000,01060000200F9101000100000001030000000100000005000000608FC2F5F25D3141E051B89EC8003D41C0F528DCF15D3141C01E85EBE9003D41703D0AD75A5E31418014AEC7EC003D41C01E85EB5B5E3141A047E17ACB003D41608FC2F5F25D3141E051B89EC8003D41,155 N. WALLER,AUSTIN,29
16084160050000,16-08-416-005-0000,01060000200F9101000100000001030000000100000005000000F0285C0F835E314140333333B5003D41B047E1FA7F5E3141400AD7230F013D41703D0AD79B5E3141606666E60F013D41C01E85EB9E5E3141608FC2F5B5003D41F0285C0F835E314140333333B5003D41,5665 W WEST END AVE,AUSTIN,29
16084220210000,16-08-422-021-0000,01060000200F9101000100000001030000000100000007000000B047E17A8B5F314140E17A9496FC3C41703D0AD7D85E314100D7A37091FC3C4100000000D85E314160B81E85AAFC3C41E07A142ED75E3141A0999999C3FC3C41303333B3895F314180EB51B8C8FC3C4140E17A948A5F314180C2F5A8AFFC3C41B047E17A8B5F314140E17A9496FC3C41,18 N Parkside Ave,AUSTIN,29
16091080010000,16-09-108-001-0000,01060000200F9101000100000001030000000100000005000000400AD723F2623141803D0AD78C0D3D41305C8FC2F0623141A047E17AB40D3D41A099999987633141A0999919B70D3D41B047E1FA88633141E0A370BD8F0D3D41400AD723F2623141803D0AD78C0D3D41,4952 W HURON ST,AUSTIN,37
16091100150000,16-09-110-015-0000,01060000200F9101000100000001030000000100000005000000F051B89E15663141E051B89E1C0C3D4180EB51B8146631412085EBD1350C3D412085EB519C663141400AD723380C3D41E07A142E9D66314100D7A3F01E0C3D41F051B89E15663141E051B89E1C0C3D41,619 N LONG AVE,AUSTIN,37
16091100360000,16-09-110-036-0000,01060000200F91010001000000010300000001000000050000008014AEC7AF663141400AD7A3D30B3D41606666E6AE663141803D0AD7EC0B3D41C01E856B3667314180C2F528EF0B3D41305C8F4237673141608FC2F5D50B3D418014AEC7AF663141400AD7A3D30B3D41,608 N LOREL,AUSTIN,37
16091110210000,16-09-111-021-0000,01060000200F910100010000000103000000010000000B00000050378921E5673141A09999B9BF0B3D4190C2F548E4673141C0CCCCECD80B3D4110D7A370E3673141E051B81EF20B3D4110D7A3F0FE673141A0999999F20B3D412085EBD1FF67314160666666D90B3D41E07A14AE0068314140333333C00B3D41A0703D8A0168314160B81E05A70B3D41606666E6026831418014AEC77F0B3D41D0CCCC4CE767314140E17A147F0B3D41D022DBF9E5673141C01E858BA60B3D4150378921E5673141A09999B9BF0B3D41,5314 WEST OHIO,AUSTIN,37
16091150210000,16-09-115-021-0000,01060000200F910100010000000103000000010000000500000050B81E05F163314160666666CC093D41A0999919EB633141E051B81E6F0A3D41E07A14AE03643141000000806F0A3D41A09999990964314120AE47E1CC093D4150B81E05F163314160666666CC093D41,5448 W RACE AVE,AUSTIN,37
16091200500000,16-09-120-050-0000,01060000200F91010001000000010300000001000000070000002085EB5186693141403333330F093D4190C2F52887693141400AD723F7083D41E07A142EF2683141E07A142EF4083D41C0F5285CF168314100295C0F0C093D4110D7A3F0F0683141608FC27518093D41606666E685693141C01E856B1B093D412085EB5186693141403333330F093D41,517 N LOCKWOOD AVE,AUSTIN,37
16091240160000,16-09-124-016-0000,01060000200F9101000100000001030000000100000007000000303333331E6A31418014AE4778073D41D0A3703D066A31412085EBD177073D41D0CCCCCC006A314140E17A9415083D41305C8FC2186A314100295C0F16083D41D0CCCCCC246A3141C0CCCC4C16083D41D0A3703D2A6A314160B81E8578073D41303333331E6A31418014AE4778073D41,5231 W FERDINAND ST,AUSTIN,37
16092040140000,16-09-204-014-0000,01060000200F910100010000000103000000010000000500000080EB51B85D733141A0999919A90F3D41303333B359733141400AD7A321103D41E07A14AE72733141A0703D0A22103D4180EB51B876733141A0703D8AA90F3D4180EB51B85D733141A0999919A90F3D41,4852 W SUPERIOR ST,AUSTIN,37
16092040150000,16-09-204-015-0000,01060000200F910100010000000103000000010000000500000080EB51B876733141A0703D8AA90F3D41E07A14AE72733141A0703D0A22103D41E07A14AE8B733141608FC27522103D4180EB51B88F733141A047E1FAA90F3D4180EB51B876733141A0703D8AA90F3D41,4848 W SUPERIOR ST,AUSTIN,37
16092060260000,16-09-206-026-0000,01060000200F9101000100000001030000000100000005000000303333B3F570314100D7A3F0580E3D4180EB51B8F170314160B81E85D10E3D41303333B30A713141608FC2F5D10E3D41E07A14AE0E71314120AE4761590E3D41303333B3F570314100D7A3F0580E3D41,4948 W HURON,AUSTIN,37
16092070080000,16-09-207-008-0000,01060000200F910100010000000103000000010000000500000080EB5138EE733141205C8FC2F00E3D41E07A142EEA733141A0703D8A690F3D41E07A142E06743141A0703D0A6A0F3D4180EB51380A743141E0A3703DF10E3D4180EB5138EE733141205C8FC2F00E3D41,4839 W SUPERIOR ST,AUSTIN,37
16092080240000,16-09-208-024-0000,01060000200F9101000100000001030000000100000005000000A0999999F46B314140E17A14390D3D41D0A370BDF36B314160B81E05520D3D4100000000716C3141E07A142E540D3D41606666E6716C314180EB51383B0D3D41A0999999F46B314140E17A14390D3D41,638 N LEAMINGTON AVE,AUSTIN,37
16092090100000,16-09-209-010-0000,01060000200F910100010000000103000000010000000500000000000080B76C314100000080D80C3D41A0999999B66C3141A047E17AF10C3D4140E17A94346D3141E051B89EF30C3D41C01E856B356D314180C2F5A8DA0C3D4100000080B76C314100000080D80C3D41,629 N. LEAMINGTON,AUSTIN,37
16092200350000,16-09-220-035-0000,01060000200F9101000100000001030000000100000007000000A0703D8AF7713141A0703D8A890A3D41A0703D8ADE71314140E17A14890A3D41C0F5285CDA71314180C2F5A8050B3D41C0F5285CF3713141400AD723060B3D41000000800B723141E051B89E060B3D41A0703D8A0F723141A047E1FA890A3D41A0703D8AF7713141A0703D8A890A3D41,4926 W RACE AVE,AUSTIN,37
16092220080000,16-09-222-008-0000,01060000200F9101000100000001030000000100000007000000D0A3703D9A713141803D0AD7C8093D41D0A370BD8F713141400AD7A3C8093D41D0CCCC4C8B71314100295C8F450A3D41D0CCCCCC95713141205C8FC2450A3D412085EB51A2713141A047E1FA450A3D41305C8FC2A671314140E17A14C9093D41D0A3703D9A713141803D0AD7C8093D41,4937 W RACE AVE,AUSTIN,37
16093020150000,16-09-302-015-0000,01060000200F9101000100000001030000000100000005000000606666E67D65314100000000A0043D41703D0AD77C653141A047E1FAC1043D4140E17A14166631418014AEC7C5043D41400AD723176631418014AEC7A3043D41606666E67D65314100000000A0043D41,322 N LONG AVE,AUSTIN,37
16093100220000,16-09-310-022-0000,01060000200F91010001000000010300000001000000050000002085EB511067314120AE47E19F023D4190C2F5280F673141C0F528DCC2023D4190C2F5A89767314100000080C6023D41606666E69867314160B81E85A3023D412085EB511067314120AE47E19F023D41,224 N Lorel,AUSTIN,28
16093100250000,16-09-310-025-0000,01060000200F9101000100000001030000000100000005000000D0A370BD1367314180EB51B838023D41A099999912673141E051B81E5B023D41703D0A579B673141205C8FC25E023D41F0285C8F9C673141C0F5285C3C023D41D0A370BD1367314180EB51B838023D41,214 N Lorel,AUSTIN,28
