pin_nbr,pin,the_geom,low_address,high_address,street_direction,street_name,street_type,community,ward,status
13333180190000,13-33-318-019-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7568340019705,41.9114896648959],[-87.7568370813882,41.9115720623069],[-87.7563769826915,41.9115779292765],[-87.7563739038655,41.911495531857],[-87.7568340019705,41.9114896648959]]]]}",1703,1703,N,LATROBE,AVE,AUSTIN,37,sold
13334180410000,13-33-418-041-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7533983456954,41.9105372389371],[-87.7534349414427,41.9105367651393],[-87.7534473532149,41.9108702524627],[-87.7534107572771,41.9108707262632],[-87.7533342585803,41.9108717120113],[-87.7533218473968,41.9105382246794],[-87.7533983456954,41.9105372389371]]]]}",5114,5114,W,CONCORD,PL,AUSTIN,37,sold
16043210220000,16-04-321-022-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7582529509726,41.8979710854133],[-87.7587454114667,41.8979664155353],[-87.7587478309251,41.8980570973987],[-87.7582554431935,41.8980617676506],[-87.7582529509726,41.8979710854133]]]]}",942,942,N,LOCKWOOD,AVE,AUSTIN,37,sold
16044120250000,16-04-412-025-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7470292083497,41.8996745402706],[-87.7470368362633,41.9000212316832],[-87.7469449970523,41.9000221348681],[-87.7469373696356,41.8996754434527],[-87.7470292083497,41.8996745402706]]]]}",4826,4826,W,CORTEZ,ST,AUSTIN,37,sold
16044150380000,16-04-415-038-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7545517888716,41.8970574834974],[-87.7550125686569,41.8970541518308],[-87.7550133610546,41.8970884588502],[-87.7550149463469,41.897157018006],[-87.754554165822,41.8971603496774],[-87.7545525810225,41.8970917905184],[-87.7545517888716,41.8970574834974]]]]}",908,,N,LEAMINGTON,AVE,AUSTIN,37,sold
16054140240000,16-05-414-024-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7673485358177,41.8994458058523],[-87.7673509424077,41.8995143688741],[-87.7668945970488,41.8995210649948],[-87.7668921904619,41.899452556849],[-87.7673485358177,41.8994458058523]]]]}",1032,1032,N,PARKSIDE,AVE,AUSTIN,29,sold
16054180290000,16-05-418-029-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.773948352475,41.8966572829179],[-87.7739595885429,41.8969859882417],[-87.7738219053731,41.8969878970758],[-87.7738105965533,41.8966591913851],[-87.773948352475,41.8966572829179]]]]}",5938,5938,W,IOWA,ST,AUSTIN,29,sold
16082020110000,16-08-202-011-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7698170835856,41.8939633674391],[-87.7698574889655,41.8939629619733],[-87.7698696277736,41.894295184887],[-87.7698292212194,41.8942957001208],[-87.7697594282985,41.89429656509],[-87.7697472924739,41.8939640677555],[-87.7698170835856,41.8939633674391]]]]}",5746,5746,W,SUPERIOR,ST,AUSTIN,29,sold
16082060030000,16-08-206-003-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7678069108112,41.8941880636416],[-87.7678111090443,41.89429505496],[-87.7673299093104,41.8943005327632],[-87.7673256384254,41.8941935410703],[-87.7678069108112,41.8941880636416]]]]}",745,745,N,WALLER,AVE,AUSTIN,29,sold
16082060140000,16-08-206-014-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7672522467927,41.8941943318932],[-87.7672565175552,41.8943013235881],[-87.7667753912075,41.8943067994292],[-87.766771048278,41.8941997524765],[-87.7672522467927,41.8941943318932]]]]}",742,742,N,PARKSIDE,AVE,AUSTIN,29,sold
16084010170000,16-08-401-017-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.77269330551,41.8864810422449],[-87.7726967947958,41.8865776019323],[-87.7721527663779,41.8865847142552],[-87.7721492779112,41.8864881545564],[-87.77269330551,41.8864810422449]]]]}",330,330,N,MAYFIELD,AVE,AUSTIN,29,sold
16084010180000,16-08-401-018-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7726908200962,41.8864124787893],[-87.77269330551,41.8864810422449],[-87.7721492779112,41.8864881545564],[-87.7721467930791,41.8864195910926],[-87.7726908200962,41.8864124787893]]]]}",326,326,N,MAYFIELD,,AUSTIN,29,sold
16084010240000,16-08-401-024-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7726701822555,41.8858410803967],[-87.7726734972111,41.8859323702872],[-87.7721294742668,41.8859394825339],[-87.7721261600855,41.8858481926326],[-87.7725177590325,41.8858430803904],[-87.7726701822555,41.8858410803967]]]]}",306,,N,MAYFIELD,,AUSTIN,29,sold
16084020010000,16-08-402-001-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7717300231159,41.8866314404008],[-87.771860557864,41.8866297186346],[-87.7718753897531,41.8870413185871],[-87.7717448541672,41.8870430403649],[-87.7716917439768,41.8870437136757],[-87.7716769132664,41.8866321137068],[-87.7717300231159,41.8866314404008]]]]}",5843,5843,W,LAKE,ST,AUSTIN,29,sold
16084090040000,16-08-409-004-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7697857373427,41.8852112622568],[-87.7697902607449,41.8853484420032],[-87.7691625633554,41.8853580384639],[-87.7691576006278,41.8852208565364],[-87.7697857373427,41.8852112622568]]]]}",237,237,N,MENARD,AVE,AUSTIN,29,sold
16084140130000,16-08-414-013-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7708637336333,41.8838292744057],[-87.7708685923164,41.8839703526213],[-87.7700389845879,41.8839822030099],[-87.7700341867105,41.8838427716096],[-87.7708637336333,41.8838292744057]]]]}",156,160,N,MENARD,AVE,AUSTIN,29,sold
16084160010000,16-08-416-001-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7681186422664,41.8838669493578],[-87.7681218757755,41.883958403657],[-87.7677363027512,41.8839644087615],[-87.7677330702759,41.8838728995724],[-87.7681186422664,41.8838669493578]]]]}",159,159,N,WALLER,AVE,AUSTIN,29,sold
16084160020000,16-08-416-002-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7681154082813,41.8837755499398],[-87.7681186422664,41.8838669493578],[-87.7677330702759,41.8838728995724],[-87.7677299102832,41.8837815005087],[-87.7681154082813,41.8837755499398]]]]}",155,155,N,WALLER,AVE,AUSTIN,29,sold
16084160050000,16-08-416-005-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7675867217162,41.8837196533217],[-87.767595854665,41.8839665160909],[-87.7674935298878,41.8839680975911],[-87.7674843973329,41.8837212348163],[-87.7675867217162,41.8837196533217]]]]}",5665,5665,W,WEST END,AVE,AUSTIN,29,sold
16084220210000,16-08-422-021-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7666413054778,41.8808208510708],[-87.7672973923896,41.8808099812514],[-87.7672998694627,41.8808788192669],[-87.7673022731006,41.8809476569196],[-87.766646625904,41.8809584740496],[-87.7666440021658,41.8808896901831],[-87.7666413054778,41.8808208510708]]]]}",20,20,N,PARKSIDE,,AUSTIN,29,sold
16091080010000,16-09-108-001-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7633383519524,41.89272074167],[-87.7633424531012,41.8928295438893],[-87.7627884043853,41.8928339824464],[-87.7627842973389,41.8927259485679],[-87.7633383519524,41.89272074167]]]]}",657,657,N,PINE,AVE,AUSTIN,37,sold
16091100150000,16-09-110-015-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7603964752865,41.8916956159898],[-87.7603991626534,41.8917647843745],[-87.7599011009113,41.8917686650509],[-87.7598985609856,41.8916994973915],[-87.7603964752865,41.8916956159898]]]]}",619,619,N,LONG,AVE,AUSTIN,37,sold
16091100360000,16-09-110-036-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7598320990445,41.8914925238355],[-87.7598347123445,41.8915616918652],[-87.7593369459807,41.8915655715718],[-87.7593344801212,41.8914964042685],[-87.7598320990445,41.8914925238355]]]]}",608,,N,LOREL,,AUSTIN,37,sold
16091110210000,16-09-111-021-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7586964708597,41.8914321951849],[-87.7586989580646,41.8915013626087],[-87.7587014417244,41.8915705162926],[-87.7586004336989,41.8915713280512],[-87.7585978217306,41.8915021600019],[-87.7585952832187,41.8914329923193],[-87.7585927442194,41.8913638795183],[-87.7585887148109,41.891256175169],[-87.7586900950079,41.8912547615484],[-87.75869398684,41.8913630826611],[-87.7586964708597,41.8914321951849]]]]}",5314,5314,W,OHIO,ST,AUSTIN,37,sold
16091150210000,16-09-115-021-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7624257342964,41.8900805251852],[-87.7624434996562,41.8905271571973],[-87.7623532195239,41.8905277511657],[-87.7623354523493,41.890081393556],[-87.7624257342964,41.8900805251852]]]]}",5448,5448,W,RACE,AVE,AUSTIN,37,sold
16091200500000,16-09-120-050-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7571812892215,41.889535121637],[-87.7571787976308,41.8894690825774],[-87.7577259949358,41.8894637036637],[-87.7577284180749,41.8895292484047],[-87.7577296550387,41.8895632832554],[-87.7571825303334,41.8895686625498],[-87.7571812892215,41.889535121637]]]]}",517,517,N,LOCKWOOD,AVE,AUSTIN,37,sold
16091240160000,16-09-124-016-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7566335576518,41.8884156836269],[-87.7567215598939,41.8884148631744],[-87.7567376448063,41.8888478762489],[-87.7566496414762,41.8888487515925],[-87.7566054194646,41.8888491881324],[-87.7565893359389,41.8884161201626],[-87.7566335576518,41.8884156836269]]]]}",5231,5231,W,FERDINAND,ST,AUSTIN,37,sold
16092040140000,16-09-204-014-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.747886529171,41.8941256113048],[-87.7478982728202,41.8944564622549],[-87.7478065175486,41.8944570921434],[-87.7477946999159,41.894126350577],[-87.747886529171,41.8941256113048]]]]}",4852,4852,W,SUPERIOR,ST,AUSTIN,37,sold
16092040150000,16-09-204-015-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7477946999159,41.894126350577],[-87.7478065175486,41.8944570921434],[-87.7477146883198,41.8944577764663],[-87.7477028706595,41.8941270897758],[-87.7477946999159,41.894126350577]]]]}",4848,4848,W,SUPERIOR,ST,AUSTIN,37,sold
16092060260000,16-09-206-026-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7501573959566,41.8932146610931],[-87.7501690033086,41.8935456209553],[-87.7500772483439,41.8935463624314],[-87.7500656414657,41.893215402563],[-87.7501573959566,41.8932146610931]]]]}",4948,4948,W,HURON,ST,AUSTIN,37,sold
16092070080000,16-09-207-008-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7473604435999,41.8936170542133],[-87.7473722519047,41.8939485641912],[-87.747269403241,41.89394941147],[-87.7472575959698,41.8936178466027],[-87.7473604435999,41.8936170542133]]]]}",4839,4839,W,SUPERIOR,ST,AUSTIN,37,sold
16092080240000,16-09-208-024-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7548695946676,41.8924485364051],[-87.7548721356244,41.8925169906617],[-87.7544120470504,41.8925205997171],[-87.7544093601749,41.8924520898304],[-87.7548695946676,41.8924485364051]]]]}",638,638,N,LEAMINGTON,AVE,AUSTIN,37,sold
16092090100000,16-09-209-010-0000,"{""type"":""MultiPolygon"",""coordinates"":[[[[-87.7541561919259,41.8921799014359],[-87.7541588780268,41.8922484662124],[-87.7536961475778,41.8922520041926],[-87.7536936818329,41.8921834954031],[-87.7541561919259,41.8921799014359]]]]}",629,629,N,LEAMINGTON,AVE,AUSTIN,37,sold
