PIN number,Lot Address
16-08-416-005-0000,5665 W WEST END AVE
13-33-318-019-0000,1703 N LATROBE AVE
13-33-418-041-0000,5114 W CONCORD PL
16-04-321-022-0000,942 N LOCKWOOD AVE
16-04-415-038-0000,908 N LEAMINGTON
16-05-414-024-0000,1032 N. PARKSIDE
16-05-418-029-0000,5938 W IOWA ST
16-08-202-011-0000,5746 W SUPERIOR ST
16-08-206-003-0000,745 N WALLER AVE
16-08-206-014-0000,744 N Parkside
16-08-401-017-0000,330 N. MAYFIELD AVE
16-08-401-018-0000,326 N. MAYFIELD
16-08-401-024-0000,306 N MAYFIELD
16-08-402-001-0000,5843 W LAKE ST
16-08-409-004-0000,237 N MENARD AVE
16-08-414-013-0000,156 N MENARD AVE
16-08-416-001-0000,157 N. WALLER AVE.
16-08-416-002-0000,155 N. WALLER
16-08-422-021-0000,18 N Parkside Ave
16-09-108-001-0000,4952 W HURON ST
16-09-110-015-0000,619 N LONG AVE
16-09-110-036-0000,608 N LOREL
16-09-111-021-0000,5314 WEST OHIO
16-09-115-021-0000,5448 W RACE AVE
16-09-120-050-0000,517 N LOCKWOOD AVE
16-09-124-016-0000,5231 W FERDINAND ST
16-09-204-014-0000,4852 W SUPERIOR ST
16-09-204-015-0000,4848 W SUPERIOR ST
16-09-207-008-0000,4839 W SUPERIOR ST
16-09-208-024-0000,638 N LEAMINGTON AVE
16-09-209-010-0000,629 N. LEAMINGTON
16-09-220-035-0000,4926 W RACE AVE
16-09-222-008-0000,4937 W RACE AVE
16-09-302-015-0000,322 N LONG AVE
16-09-312-003-0000,231 N LOCKWOOD
16-09-315-029-0000,120 N LOTUS AVE
16-09-316-026-0000,142 N LONG AVE
16-09-317-014-0000,154 N LOREL AVE
16-09-317-031-0000,5331 W WASHINGTON BLVD
16-09-319-018-0000,48 N LOTUS AVE
16-09-323-010-0000,47 N. LOCKWOOD
16-09-403-037-0000,5136 W FULTON ST
16-10-108-041-0000,4706 W RACE
16-11-401-008-0000,3440 W CARROLL AVE
16-11-401-009-0000,3438 W CARROLL AVE
16-11-401-011-0000,3434 W CARROLL AVE
16-11-403-020-0000,3513 W CARROLL AVE
16-11-403-028-0000,3540 W FULTON BLVD
16-11-403-035-0000,3518 W FULTON BLVD
16-11-403-039-0000,3500 W FULTON BLVD
16-11-404-035-0000,3430 W FULTON BLVD
16-11-404-042-0000,3408 W FULTON BLVD
16-11-404-045-0000,314 N HOMAN AVE
16-11-405-063-0000,3300 W FULTON BLVD
16-11-406-017-0000,3514 W WALNUT ST
16-11-407-001-0000,3459 W FULTON ST
16-11-407-010-0000,3435 W FULTON ST
16-11-407-012-0000,3431 W FULTON BLVD
16-11-408-020-0000,3301 W FULTON BLVD
16-11-408-025-0000,3243 W FULTON BLVD
16-11-408-080-0000,3232 W WALNUT ST
16-11-408-085-0000,3222 W WALNUT ST
16-11-410-007-0000,3443 W WALNUT ST
16-11-410-022-0000,3409 W WALNUT ST
16-11-410-023-0000,3407 W WALNUT ST
16-11-411-023-0000,3307 W WALNUT ST
16-11-412-049-0000,3246 W MAYPOLE AVE
16-11-412-051-0000,3240 W MAYPOLE AVE
16-11-413-035-0000,3306 W WASHINGTON BLVD
16-11-414-028-0000,3207 W WASHINGTON BLVD/52 N KEDZIE AVE
16-12-305-008-0000,313 N WHIPPLE ST/3018 W FULTON ST
16-12-306-024-0000,311 N SACRAMENTO AVE
16-12-306-027-0000,2948 W FULTON ST
16-12-308-034-0000,3134 W WALNUT ST
16-12-308-041-0000,3120 W WALNUT ST
16-12-308-042-0000,3118 W WALNUT ST
16-12-308-047-0000,3108 W WALNUT ST
16-12-308-048-0000,3106 W WALNUT ST
16-12-310-007-0000,2945 W FULTON ST
16-12-310-018-0000,2917 W FULTON ST
16-12-310-037-0000,2924 W WALNUT ST
16-12-310-042-0000,2912 W WALNUT ST
16-12-310-044-0000,2906 W WALNUT ST
16-12-313-014-0000,3031 W WALNUT ST
16-12-313-017-0000,3023 W WALNUT ST
16-12-319-005-0000,3146 W WASHINGTON BLVD
16-12-319-009-0000,3136 W WASHINGTON BLVD
16-12-319-011-0000,3130 W WASHINGTON BLVD
16-12-322-011-0000,117 N FRANCISCO AVE
16-12-322-012-0000,115 N FRANCISCO AVE
16-12-323-015-0000,113 N MOZART ST
16-12-324-009-0000,3129 W WASHINGTON BLVD
16-12-326-014-0000,2919 W WASHINGTON BLVD
16-12-329-014-0000,3031 W WARREN BLVD
16-12-330-002-0000,2955 W WARREN BLVD
16-12-330-025-0000,2901 W WARREN BLVD
16-12-415-044-0000,2758 W MAYPOLE AVE
16-12-415-055-0000,2738 W MAYPOLE AVE
16-12-415-073-0000,2674 W MAYPOLE AVE
16-12-415-074-0000,2672 W MAYPOLE AVE
16-12-415-076-0000,2666 W MAYPOLE AVE
16-12-415-080-0000,2656 W MAYPOLE AVE
16-12-418-032-0000,2639 W MAYPOLE AVE
16-12-421-015-0000,2721 W WASHINGTON BLVD
16-12-421-016-0000,2719 W WASHINGTON BLVD
16-12-421-034-0000,2736 W WARREN BLVD
16-12-426-016-0000,2633 W WARREN BLVD
16-13-101-010-0000,17 S ALBANY AVE
16-13-102-004-0000,3009 W MADISON ST
16-13-103-028-0000,2936 W MONROE ST
16-13-103-029-0000,2934 W MONROE ST
16-13-103-030-0000,2932 W MONROE ST
16-13-104-010-0000,2945 W MONROE ST
16-13-104-011-0000,2943 W MONROE ST
16-13-104-013-0000,2939 W MONROE ST
16-13-104-019-0000,2942 W FIFTH AVE
16-13-104-020-0000,2940 W FIFTH AVE
16-13-108-037-0000,2926 W WILCOX ST
16-13-109-014-0000,2825 W MONROE ST
16-13-109-033-0000,2820 W WILCOX ST
16-13-110-008-0000,2945 W WILCOX ST
16-13-110-020-0000,2921 W WILCOX ST
16-13-115-006-0000,3021 W FIFTH AVE
16-13-115-025-0000,120 S SACRAMENTO BLVD
16-13-116-010-0000,2937 W ADAMS ST Chicago IL
16-13-116-024-0000,2958 W JACKSON BLVD
16-13-116-027-0000,2946 W JACKSON BLVD
16-13-121-018-0000,331 S SACRAMENTO BLVD
16-13-121-020-0000,318 S RICHMOND ST
16-13-200-019-0000,2750 W MONROE ST
16-13-202-006-0000,2549 W MADISON ST
16-13-202-029-0000,2530 W MONROE ST
16-13-212-039-0000,2718 W JACKSON BLVD
16-13-213-007-0000,2639 W ADAMS ST
16-13-213-013-0000,2648 W JACKSON BLVD
16-13-216-037-0000,2724 W GLADYS AVE
16-13-216-043-0000,2710 W GLADYS AVE
16-13-216-045-0000,314-318 S WASHTENAW AVE
16-13-216-049-0000,314 S WASHTENAW AVE/2702-08 WEST GLADYS AVE
16-13-217-006-0000,2645 W JACKSON BLVD
16-13-223-008-0000,2733 W GLADYS AVE
16-13-223-010-0000,2723 W GLADYS AVE
16-13-300-025-0000,3116 W FLOURNOY ST
16-13-302-022-0000,2942 W FLOURNOY ST
16-13-302-026-0000,2928 W FLOURNOY ST
16-13-302-034-0000,2908 FLOURNOY ST
16-13-304-010-0000,3137 W FLOURNOY ST
16-13-305-025-0000,3054 W LEXINGTON ST
16-13-305-033-0000,3034 W LEXINGTON ST
16-13-306-016-0000,2943 W FLOURNOY ST
16-13-306-020-0000,2929 W FLOURNOY ST
16-13-306-021-0000,2925 W FLOURNOY ST
16-13-307-004-0000,2851 W FLOURNOY ST
16-13-307-026-0000,2852 W LEXINGTON ST
16-13-307-033-0000,2836 W LEXINGTON ST
16-13-309-028-0000,3048 W POLK ST
16-13-309-035-0000,3030 W POLK ST
16-13-310-011-0000,2929 W LEXINGTON ST
16-13-310-012-0000,2927 W LEXINGTON ST
16-13-311-014-0000,2821 W LEXINGTON ST
16-13-313-019-0000,3015 W POLK ST
16-13-313-024-0000,808 S SACRAMENTO AVE
16-13-318-017-0000,2919 W ARTHINGTON ST
16-14-200-017-0000,3526 W MONROE ST
16-14-202-026-0000,3354 W MONROE ST
16-14-202-038-0000,3324 W MONROE ST
16-14-204-010-0000,3533 W MONROE ST
16-14-204-011-0000,3531 W MONROE ST
16-14-205-038-0000,3406 W ADAMS ST
16-14-205-039-0000,120 S HOMAN AVE
16-14-206-030-0000,115 S HOMAN AVE
16-14-206-038-0000,3344 W ADAMS ST
16-14-208-009-0000,3525 W ADAMS ST
16-14-208-010-0000,3523 W ADAMS ST
16-14-209-031-0000,3436 W JACKSON BLVD
16-14-209-035-0000,3426 W JACKSON BLVD
16-14-209-043-0000,3400 W JACKSON BLVD
16-14-210-023-0000,3358 W JACKSON BLVD
16-14-214-014-0000,3513 W JACKSON BLVD
16-14-216-021-0000,3544 W VAN BUREN ST
16-14-216-028-0000,3526 W VAN BUREN ST
16-14-218-006-0000,331 S TRUMBULL AVE
16-14-222-014-0000,3318 W VAN BUREN ST
16-14-222-017-0000,3310 W VAN BUREN ST
16-14-222-021-0000,3300 W VAN BUREN ST
16-14-224-020-0000,3519 W VAN BUREN ST
16-14-224-022-0000,3515 W VAN BURREN ST
16-14-227-010-0000,3333 W VAN BUREN ST
16-14-308-019-0000,708 S CENTRAL PARK AVE
16-14-312-006-0000,3641 W LEXINGTON ST
16-14-312-028-0000,3638 W POLK ST
16-14-404-001-0000,701 S CENTRAL PARK AV
16-14-407-020-0000,3252 W LEXINGTON ST
16-14-407-023-0000,3244 W LEXINGTON ST
16-14-407-024-0000,3242 W LEXINGTON ST
16-14-407-026-0000,3238 W LEXINGTON ST
16-14-407-035-0000,3214 W LEXINGTON ST
16-14-411-005-0000,3245 W LEXINGTON ST
16-14-411-013-0000,3223 W LEXINGTON ST
16-14-411-014-0000,3221 W LEXINGTON ST
16-16-101-024-0000,5448 WEST MONROE
16-16-101-025-0000,5446 W MONROE ST
16-16-102-016-0000,5244 W MONROE ST
16-16-104-011,5421 W MONROE ST
16-16-118-029-0000,5321 W VANBUREN
16-16-221-067-0000,4820 W HARRISON ST
20-07-308-053,2124 W 52ND PL
20-07-316-016,5346 S SEELEY AVE
20-07-316-017,5348 S SEELEY AVE
20-07-401-019,5135 S WINCHESTER AVE
20-07-408-006,5213 S DAMEN AVE
20-07-411-030,5220 S Wood ST
20-07-412-030,5214 S HERMITAGE AVE
20-07-412-038,5236 S HERMITAGE AVE
20-07-413-048,5258 S PAULINA ST
20-07-417-016,5337 S WINCHESTER AVE
20-07-417-026,5302 S WOLCOTT AVE
20-07-421-001,5301 S HERMITAGE AVE
20-07-421-033,5320 S PAULINA ST
20-07-430-001,5401 S PAULINA ST
20-07-430-015,5437 S PAULINA ST
20-07-431-008,5419 S MARSHFIELD AVE
20-08-125-023,5010 S LAFLIN ST
20-08-125-025,5014 S LAFLIN ST
20-08-213-025,842 W 50TH ST
20-08-213-028,834 W 50TH ST
20-08-217-027,5022 S MORGAN ST
20-08-217-028,5024 S MORGAN ST
20-08-217-029,5026 S MORGAN ST
20-08-219-016,821 W 50TH ST
20-08-219-017,817 W 50TH ST
20-08-300-035,5136 S JUSTINE ST
20-08-300-040,5146 S JUSTINE ST
20-08-308-020,5204 S JUSTINE ST
20-08-308-021,5206 S JUSTINE ST
